Department,Year,FTEs,Headcount,Average Age,Tenure,Average sick and domestic leave taken per employee (days),Average leave balance (days),Percentage of staff with a leave balance of over 5 weeks,Gross Turnover,Unplanned Turnover,Unplanned turnover of staff with less than 2 years tenure,Number of fixed term staff,Percentage of fixed term staff,Number of Managers,Percentage of Managers,Number of Women,Percentage of Women,Number of Maori staff,Percentage of Maori staff,Number of Asian staff,Percentage of Asian staff,Number of Pacific staff,Percentage of Pacific staff
Ministry of M?ori Development,2005,341.6,353,42.53,6.48,5.13,14.20,16.48,43.27,26.60,33.53,70,19.83,,,207,58.64,239,70.71,7,2.07,11,3.25
Ministry of M?ori Development,2006,366.4,373,42.99,5.87,5.39,7.86,9.09,26.17,15.59,15.11,53,14.21,,,221,59.25,266,73.48,5,1.38,14,3.87
Ministry of M?ori Development,2007,391.3,403,43.29,5.96,5.15,6.66,5.77,19.85,9.89,13.60,76,18.86,72,17.87,237,58.81,280,72.16,9,2.32,15,3.87
Ministry of M?ori Development,2008,361.5,369,45.67,6.54,5.74,13.12,8.44,17.10,14.16,18.28,32,8.67,65,17.62,223,60.43,247,68.61,10,2.78,14,3.89
Ministry of M?ori Development,2009,403.1,412,47.48,6.75,8.81,13.45,8.93,17.93,10.71,10.46,58,14.08,73,17.72,249,60.44,279,68.38,14,3.43,15,3.68
Ministry of M?ori Development,2010,323.4,327,44.83,7.11,7.84,14.17,11.15,11.91,7.49,14.17,40,12.23,62,18.96,193,59.02,222,68.94,11,3.42,16,4.97
Ministry of M?ori Development,2011,335.9,340,45.22,7.55,6.47,14.00,10.00,14.39,7.00,17.98,46,13.53,67,19.71,208,61.18,233,69.76,11,3.29,16,4.79
Ministry of M?ori Development,2012,309.5,313,45.63,7.98,7.76,13.60,11.00,19.91,9.24,7.32,44,14.06,61,19.49,198,63.26,224,72.26,10,3.23,14,4.52
Ministry of M?ori Development,2013,306.4,310,46.59,9.19,11.25,12.92,9.55,11.88,8.43,19.23,57,18.39,57,18.39,197,63.55,232,75.32,12,3.90,17,5.52
"Ministry of Business, Innovation and Employment",2013,"2,858.7","2,942",43.12,7.74,6.68,14.30,6.50,22.47,14.06,21.21,293,9.96,453,15.40,1659,56.39,240,8.50,367,12.99,239,8.46
National Library of New Zealand,2000,359.3,384,44.50,10.11,,,,,,,56,14.58,,,280,72.92,31,8.22,5,1.33,18,4.77
National Library of New Zealand,2001,359.4,388,45.21,10.02,,,,25.13,6.94,3.92,53,13.66,,,289,74.48,26,6.81,6,1.57,17,4.45
National Library of New Zealand,2002,364.2,394,45.84,9.94,,,,16.62,8.41,17.57,39,9.90,,,291,73.86,29,7.44,8,2.05,16,4.10
National Library of New Zealand,2003,356.6,388,46.39,10.65,7.62,6.33,3.15,18.93,9.26,21.28,30,7.73,,,282,72.68,30,7.87,7,1.84,16,4.20
National Library of New Zealand,2004,358.0,390,46.92,10.97,7.32,14.03,11.11,13.11,8.15,11.76,36,9.23,,,277,71.03,33,8.62,9,2.35,16,4.18
National Library of New Zealand,2005,352.6,384,47.42,11.34,6.92,13.60,11.07,20.16,9.31,4.49,29,7.55,,,270,70.31,30,7.89,9,2.37,14,3.68
National Library of New Zealand,2006,366.9,399,47.15,10.86,7.13,7.78,4.67,14.30,10.04,17.48,17,4.26,,,285,71.43,27,6.92,20,5.13,15,3.85
National Library of New Zealand,2007,352.2,382,48.34,11.40,7.71,8.26,5.84,13.32,10.92,23.93,13,3.40,42,10.99,272,71.20,27,7.46,18,4.97,16,4.42
National Library of New Zealand,2008,358.2,388,48.13,11.80,6.82,16.17,17.83,12.47,10.11,14.29,25,6.44,45,11.60,268,69.07,28,7.43,22,5.84,14,3.71
National Library of New Zealand,2009,355.9,383,48.63,12.46,6.68,16.60,17.56,21.79,9.08,17.31,41,10.70,49,12.79,263,68.67,30,8.09,20,5.39,12,3.23
National Library of New Zealand,2010,349.2,380,48.14,11.84,7.73,17.58,23.24,19.92,8.33,16.51,26,6.84,54,14.21,262,68.95,24,6.56,21,5.74,12,3.28
New Zealand Food Safety Authority,2008,488.2,503,45.54,9.35,5.32,16.78,19.39,,,24.06,9,1.79,95,18.89,229,45.53,18,3.89,27,5.83,6,1.30
New Zealand Food Safety Authority,2009,499.6,515,45.75,9.79,4.24,16.75,16.20,9.43,7.61,14.52,10,1.94,103,20.00,246,47.77,18,3.77,27,5.65,8,1.67
New Zealand Food Safety Authority,2010,457.9,469,46.54,10.84,5.16,14.63,10.39,13.82,9.74,19.10,9,1.92,93,19.83,212,45.20,18,4.17,30,6.94,7,1.62
Ministry of Pacific Island Affairs,2000,29.0,29,36.44,3.88,,,,,,,5,17.24,,,14,48.28,,,,,26,89.66
Ministry of Pacific Island Affairs,2001,35.0,35,35.93,4.16,,,,6.25,7.55,0.00,6,17.14,,,19,54.29,,,1,2.86,32,91.43
Ministry of Pacific Island Affairs,2002,42.0,42,35.94,3.10,,,,28.57,27.27,6.90,5,11.90,,,21,50.00,,,,,38,90.48
Ministry of Pacific Island Affairs,2003,44.0,44,36.53,3.76,7.83,8.51,2.38,6.98,7.59,5.26,2,4.55,,,21,47.73,,,,,40,90.91
Ministry of Pacific Island Affairs,2004,53.0,53,37.28,3.39,5.91,8.03,7.55,20.62,18.95,15.79,,,,,23,43.40,,,,,49,92.45
Ministry of Pacific Island Affairs,2005,52.0,52,37.44,3.95,8.38,15.41,18.00,19.05,19.42,14.29,2,3.85,,,27,51.92,3,6.12,,,47,95.92
Ministry of Pacific Island Affairs,2006,49.0,49,37.26,4.40,10.77,9.52,6.25,21.78,18.37,16.22,1,2.04,,,24,48.98,2,4.08,,,45,91.84
Ministry of Pacific Island Affairs,2007,49.0,49,38.20,6.74,10.33,9.36,6.25,12.24,10.42,15.38,1,2.04,6,12.24,21,42.86,1,2.04,,,45,91.84
Ministry of Pacific Island Affairs,2008,42.6,43,37.85,3.31,7.45,8.81,7.32,43.48,13.19,0.00,,,5,11.63,23,53.49,2,4.65,,,32,74.42
Ministry of Pacific Island Affairs,2009,40.6,41,39.28,3.82,8.16,9.56,5.26,14.29,14.46,5.88,1,2.44,5,12.20,23,56.10,2,4.88,1,2.44,28,68.29
Ministry of Pacific Island Affairs,2010,37.8,39,41.31,5.41,9.36,11.92,9.68,25.00,16.67,40.00,7,17.95,5,12.82,22,56.41,1,2.56,1,2.56,26,66.67
Ministry of Pacific Island Affairs,2011,41.5,43,43.84,5.59,7.79,12.28,6.67,29.27,23.50,30.77,7,16.28,7,16.28,24,55.81,,,1,2.33,30,69.77
Ministry of Pacific Island Affairs,2012,39.4,40,43.66,5.98,8.36,11.11,2.50,24.10,10.81,20.00,2,5.00,8,20.00,24,60.00,0,0.00,2,5.00,27,67.50
Ministry of Pacific Island Affairs,2013,34.8,36,44.96,7.27,8.66,11.50,8.30,28.95,16.67,40.00,2,5.56,10,27.78,19,52.78,1,2.78,0,0.00,25,69.44
Ministry for Primary Industries,2011,"1,695.6","1,775",44.31,9.83,5.73,14.70,15.00,16.62,11.44,15.10,86,4.85,313,17.63,835,47.04,92,5.50,147,8.78,55,3.29
Ministry for Primary Industries,2012,"1,961.7","2,042",44.58,9.91,5.18,16.91,23.62,20.85,12.37,15.57,78,3.82,323,15.82,931,45.59,84,5.11,135,8.21,53,3.22
Ministry for Primary Industries,2013,"2,070.0","2,137",44.66,9.78,5.59,16.50,22.80,12.16,9.02,11.69,111,5.19,343,16.05,1010,47.26,90,5.45,131,7.93,44,2.67
Department of the Prime Minister & Cabinet,2000,111.7,115,43.85,7.50,,,,,,,42,36.52,,,65,56.52,12,11.32,3,2.83,2,1.89
Department of the Prime Minister & Cabinet,2001,94.4,97,44.04,8.26,,,,20.75,14.77,15.38,21,21.65,,,54,55.67,11,12.22,2,2.22,3,3.33
Department of the Prime Minister & Cabinet,2002,103.0,105,43.59,8.14,,,,15.84,13.92,20.83,23,21.90,,,58,55.24,12,12.50,2,2.08,3,3.13
Department of the Prime Minister & Cabinet,2003,104.8,107,43.54,7.86,3.56,13.73,8.43,19.81,12.87,11.54,18,16.82,,,58,54.21,11,11.22,3,3.06,4,4.08
Department of the Prime Minister & Cabinet,2004,110.0,113,44.60,8.81,6.06,14.67,12.94,15.45,10.06,28.57,23,20.35,,,60,53.10,12,11.01,2,1.83,5,4.59
Department of the Prime Minister & Cabinet,2005,114.2,116,45.41,8.01,0.00,13.87,10.87,23.58,13.04,0.00,22,18.97,,,53,45.69,14,12.39,3,2.65,2,1.77
Department of the Prime Minister & Cabinet,2006,105.5,109,45.87,8.01,0.00,11.57,6.67,20.44,15.71,9.84,12,11.01,,,52,47.71,12,11.32,2,1.89,3,2.83
Department of the Prime Minister & Cabinet,2007,109.0,113,45.56,6.82,,11.64,7.53,26.13,20.10,13.51,11,9.73,18,15.93,63,55.75,10,9.17,4,3.67,2,1.83
Department of the Prime Minister & Cabinet,2008,106.3,111,45.04,6.98,3.94,12.83,5.68,19.64,19.80,21.92,11,9.91,17,15.32,62,55.86,8,7.48,3,2.80,3,2.80
Department of the Prime Minister & Cabinet,2009,101.3,106,46.20,7.44,6.26,14.83,10.59,16.59,10.15,0.00,9,8.49,17,16.04,58,54.72,7,6.80,3,2.91,1,0.97
Department of the Prime Minister & Cabinet,2010,109.3,115,44.97,7.16,6.77,13.99,8.60,19.00,14.00,8.16,12,10.43,18,15.65,63,54.78,7,6.14,3,2.63,1,0.88
Department of the Prime Minister & Cabinet,2011,107.7,113,44.79,7.69,1.50,11.20,8.00,16.67,11.00,13.56,12,10.62,19,16.81,59,52.21,6,5.36,4,3.57,1,0.89
Department of the Prime Minister & Cabinet,2012,102.3,105,45.04,7.40,3.60,14.00,13.00,23.85,24.62,42.86,11,10.48,13,12.38,59,56.19,4,4.55,1,1.14,1,1.14
Department of the Prime Minister & Cabinet,2013,101.8,105,46.23,7.94,5.94,15.40,17.00,9.52,8.74,4.44,16,15.24,19,18.10,58,55.24,1,3.13,0,0.00,1,3.13
Public Service,2000,"29,020.5","30,004",40.77,8.56,,,,,,,3144,10.48,,,16873,56.24,4372,16.92,857,3.32,1705,6.60
Public Service,2001,"30,353.4","31,439",41.17,8.22,,,,22.11,13.05,21.20,2341,7.45,,,17756,56.48,4624,17.00,930,3.42,1805,6.64
Public Service,2002,"31,585.1","32,837",41.75,8.25,,,,19.45,11.66,17.09,2308,7.03,,,18892,57.53,5055,17.57,1031,3.58,1957,6.80
Public Service,2003,"33,118.5","34,444",41.92,8.62,6.90,14.20,13.81,18.17,11.24,17.39,2245,6.52,,,19906,57.79,5300,17.59,1254,4.16,2137,7.09
Public Service,2004,"35,645.1","37,865",42.08,8.44,6.70,13.40,12.76,17.82,11.97,18.25,3388,8.95,,,22357,59.04,5793,17.41,1563,4.70,2378,7.15
Public Service,2005,"38,032.4","40,325",42.18,8.28,6.50,14.60,16.12,21.14,13.53,20.63,3713,9.21,,,23842,59.12,6252,17.48,1946,5.44,2615,7.31
Public Service,2006,"40,112.9","42,268",42.19,8.01,6.60,14.00,15.80,21.52,13.42,19.45,3607,8.53,,,25096,59.37,6299,16.67,2245,5.94,2809,7.44
Public Service,2007,"42,047.0","44,335",42.49,7.94,6.50,15.50,18.47,20.02,13.59,19.21,3359,7.58,4994,11.26,26266,59.24,6697,16.84,2590,6.51,3012,7.57
Public Service,2008,"43,568.8","45,934",42.82,7.96,7.30,15.70,19.58,20.40,14.57,21.11,3530,7.68,5217,11.36,27110,59.02,6822,16.70,2822,6.91,3173,7.77
Public Service,2009,"44,671.9","47,052",43.27,8.19,7.60,15.70,19.14,17.06,10.72,16.18,3353,7.13,5124,10.89,27765,59.01,6921,16.24,3056,7.17,3142,7.37
Public Service,2010,"44,553.6","46,822",43.78,8.53,7.70,15.90,20.04,15.60,9.25,14.54,3257,6.96,5151,11.00,27501,58.74,6917,16.42,3114,7.39,3208,7.61
Public Service,2011,"43,595.4","45,807",44.26,9.01,7.40,15.32,17.88,17.78,10.86,17.26,3285,7.17,5095,11.12,27087,59.13,6717,16.42,3028,7.40,3099,7.57
Public Service,2012,"43,344.6","45,444",44.61,9.16,7.63,16.00,19.23,17.33,11.37,17.91,3384,7.45,5224,11.50,26930,59.26,6534,16.35,2790,6.98,3213,8.04
Public Service,2013,"44,499.6","46,546",44.62,9.15,7.88,15.94,19.32,16.36,10.55,16.12,3885,8.35,5166,11.10,27834,59.80,6718,16.50,3109,7.63,3153,7.74
Public Trust Office,2000,449.4,452,40.39,11.21,,,,,,,26,5.75,,,251,55.53,15,4.16,5,1.39,6,1.66
Public Trust Office,2001,419.5,427,41.27,11.44,,,,19.34,14.34,27.75,16,3.75,,,234,54.80,16,4.44,8,2.22,7,1.94
"Ministry of Research, Science & Technology",2000,40.4,41,39.63,3.77,,,,,,,13,31.71,,,20,48.78,1,2.50,2,5.00,1,2.50
"Ministry of Research, Science & Technology",2001,51.1,54,38.66,2.72,,,,29.47,18.42,30.30,6,11.11,,,33,61.11,2,3.70,2,3.70,,
"Ministry of Research, Science & Technology",2002,48.6,50,39.61,3.26,,,,40.38,16.67,12.00,2,4.00,,,32,64.00,3,6.00,1,2.00,1,2.00
"Ministry of Research, Science & Technology",2003,59.2,62,39.23,2.95,,8.28,3.85,19.64,17.48,12.24,7,11.29,,,43,69.35,4,6.45,1,1.61,1,1.61
"Ministry of Research, Science & Technology",2004,62.4,64,39.93,3.17,4.90,9.29,1.85,34.92,21.62,24.49,8,12.50,,,41,64.06,5,7.81,2,3.13,1,1.56
"Ministry of Research, Science & Technology",2005,69.0,70,40.86,2.59,3.34,9.27,8.06,44.78,25.00,13.11,6,8.57,,,41,58.57,2,2.86,2,2.86,1,1.43
"Ministry of Research, Science & Technology",2006,67.9,70,40.87,3.11,4.65,12.56,6.90,28.57,20.16,16.90,5,7.14,,,38,54.29,1,1.47,1,1.47,,
"Ministry of Research, Science & Technology",2007,70.9,73,41.19,3.23,4.11,10.86,3.03,39.16,22.06,21.54,2,2.74,18,24.66,40,54.79,1,1.37,1,1.37,,
"Ministry of Research, Science & Technology",2008,70.0,72,41.92,3.53,6.06,11.30,6.25,28.97,22.86,19.35,3,4.17,16,22.22,43,59.72,3,4.23,1,1.41,,
"Ministry of Research, Science & Technology",2009,73.3,75,42.83,3.95,6.18,13.80,7.69,25.85,20.00,25.81,4,5.33,16,21.33,45,60.00,4,5.41,3,4.05,1,1.35
"Ministry of Research, Science & Technology",2010,74.5,78,42.93,4.43,5.06,15.29,16.39,24.84,25.53,22.22,8,10.26,16,20.51,50,64.10,2,2.60,3,3.90,1,1.30
Ministry of Science and Innovation,2011,116.2,119,44.57,4.99,4.80,10.60,12.00,,,,17,14.29,31,26.05,72,60.50,7,7.45,1,1.06,1,1.06
Ministry of Science and Innovation,2012,110.7,114,43.88,3.67,2.93,16.10,21.00,47.21,28.86,33.33,15,13.16,45,39.47,62,54.39,4,3.77,7,6.60,2,1.89
Serious Fraud Office,2001,33.2,34,43.73,5.44,,,,,,,1,2.94,,,15,44.12,,,2,5.88,,
Serious Fraud Office,2002,33.2,34,44.40,5.98,,,,8.82,6.06,0.00,1,2.94,,,13,38.24,,,1,2.94,,
Serious Fraud Office,2003,32.6,33,44.48,6.23,3.58,10.48,3.23,20.90,18.18,42.86,,,,,15,45.45,,,1,3.03,,
Serious Fraud Office,2004,33.4,34,45.27,6.42,3.68,10.03,3.23,14.93,14.93,0.00,,,,,17,50.00,,,1,2.94,,
Serious Fraud Office,2005,28.8,29,46.94,7.30,3.43,5.48,,12.70,12.70,0.00,,,,,12,41.38,,,,,,
Serious Fraud Office,2006,29.0,30,45.17,7.02,2.48,7.53,,16.95,6.78,0.00,,,,,15,50.00,,,,,,
Serious Fraud Office,2007,29.2,30,46.77,7.04,3.81,12.17,,16.67,16.67,0.00,,,3,10.00,13,43.33,,,,,,
Serious Fraud Office,2008,34.4,35,45.06,6.75,2.85,16.81,3.33,21.54,22.22,22.22,2,5.71,2,5.71,17,48.57,,,,,1,2.86
Serious Fraud Office,2009,29.8,30,45.57,6.31,6.28,11.75,,24.62,25.81,28.57,1,3.33,6,20.00,13,43.33,,,,,1,3.57
Serious Fraud Office,2010,25.4,26,42.80,4.87,3.83,5.73,,42.86,19.23,19.05,3,11.54,1,3.85,12,46.15,,,1,3.85,,
Serious Fraud Office,2011,33.0,34,39.81,3.51,1.56,9.60,3.03,33.33,29.63,28.57,3,8.82,2,5.88,16,47.06,,,1,2.94,,
Serious Fraud Office,2012,49.5,51,40.05,2.69,1.67,9.30,3.90,16.47,12.82,7.69,4,7.84,2,3.92,28,54.90,1,2.22,2,4.44,0,0.00
Serious Fraud Office,2013,49.7,51,41.27,3.10,2.50,9.97,0.00,9.80,10.64,3.33,4,7.84,6,11.76,28,54.90,2,4.08,3,6.12,0,0.00
Ministry of Social Development,2002,"5,084.6","5,232",39.34,5.63,,,,,,,237,4.53,,,3838,73.36,1325,26.20,175,3.46,581,11.49
Ministry of Social Development,2003,"5,485.1","5,631",39.45,7.82,8.32,11.57,6.12,16.88,12.40,18.34,253,4.49,,,4081,72.47,1429,26.19,243,4.45,645,11.82
Ministry of Social Development,2004,"5,903.2","6,045",39.39,7.71,8.11,11.45,5.58,16.86,13.45,21.70,283,4.68,,,4371,72.31,1548,26.44,331,5.65,701,11.97
Ministry of Social Development,2005,"6,412.0","6,551",39.64,7.63,8.41,11.52,6.32,16.21,12.52,20.94,348,5.31,,,4747,72.46,1636,25.85,427,6.75,757,11.96
Ministry of Social Development,2006,"6,298.7","6,444",40.24,8.09,9.26,12.02,7.22,16.74,13.50,21.32,310,4.81,,,4660,72.32,1558,24.95,451,7.22,757,12.12
Ministry of Social Development,2007,"9,323.1","9,601",41.75,8.01,9.00,16.63,20.31,21.03,13.50,20.00,578,6.02,940,9.79,7032,73.24,2263,24.76,614,6.72,1123,12.29
Ministry of Social Development,2008,"9,237.2","9,534",42.42,8.41,9.88,16.40,20.96,18.00,13.88,23.31,548,5.75,925,9.70,6981,73.22,2258,24.87,631,6.95,1131,12.46
Ministry of Social Development,2009,"9,178.4","9,465",42.95,8.97,10.60,16.50,21.37,13.12,9.61,16.16,592,6.25,919,9.71,6940,73.32,2211,24.51,645,7.15,1159,12.85
Ministry of Social Development,2010,"9,333.4","9,638",43.50,9.17,9.98,16.21,22.17,12.51,8.45,14.33,468,4.86,930,9.65,7015,72.78,2238,24.43,666,7.27,1173,12.81
Ministry of Social Development,2011,"9,210.4","9,527",44.27,9.78,9.30,16.10,20.00,12.60,9.30,19.95,479,5.03,924,9.70,6906,72.49,2219,24.50,662,7.31,1168,12.90
Ministry of Social Development,2012,"9,192.5","9,504",44.52,10.20,9.20,16.80,23.00,12.33,9.99,17.97,556,5.85,962,10.12,6927,72.89,2201,24.30,681,7.52,1207,13.32
Ministry of Social Development,2013,"9,567.1","9,869",44.28,10.07,10.15,16.70,22.00,12.73,9.58,17.63,530,5.37,986,9.99,7215,73.11,2304,24.59,743,7.93,1239,13.22
Ministry of Social Policy,2000,181.3,188,40.90,6.79,,,,,,,28,14.89,,,113,60.11,14,8.48,16,9.70,5,3.03
Ministry of Social Policy,2001,183.4,190,41.51,6.63,,,,31.22,18.96,23.08,23,12.11,,,116,61.05,18,10.00,13,7.22,5,2.78
State Services Commission,2000,122.7,123,43.85,6.39,,,,,,,10,8.13,,,71,57.72,11,9.02,14,11.48,2,1.64
State Services Commission,2001,141.5,144,43.65,6.39,,,,13.48,13.45,10.00,19,13.19,,,79,54.86,14,10.14,4,2.90,3,2.17
State Services Commission,2002,153.3,155,42.90,5.52,,,,21.40,16.34,6.90,23,14.84,,,92,59.35,19,12.26,4,2.58,4,2.58
State Services Commission,2003,153.7,156,43.77,6.62,6.65,13.17,6.90,12.22,8.70,12.50,35,22.44,,,98,62.82,17,10.97,5,3.23,5,3.23
State Services Commission,2004,155.4,159,44.19,6.09,5.52,12.11,4.62,24.76,16.22,19.05,21,13.21,,,99,62.26,21,13.38,4,2.55,4,2.55
State Services Commission,2005,153.3,157,43.67,5.78,6.19,12.41,11.20,35.44,23.44,18.82,22,14.01,,,105,66.88,21,13.82,4,2.63,6,3.95
State Services Commission,2006,180.3,185,42.80,4.29,5.13,11.67,6.16,38.60,25.00,14.93,24,12.97,,,119,64.32,23,13.37,9,5.23,3,1.74
State Services Commission,2007,215.5,220,43.05,3.57,4.00,12.80,8.11,27.16,24.86,24.00,19,8.64,42,19.09,132,60.00,25,13.74,14,7.69,2,1.10
State Services Commission,2008,233.1,238,42.86,3.45,4.21,12.64,11.46,31.88,21.90,15.18,28,11.76,40,16.81,139,58.40,21,11.60,17,9.39,3,1.66
State Services Commission,2009,211.1,215,43.92,3.53,4.63,13.79,9.95,41.94,25.06,23.65,10,4.65,45,20.93,120,55.81,17,9.39,28,15.47,6,3.31
State Services Commission,2010,161.1,163,45.00,4.29,4.37,12.06,8.70,25.40,17.05,13.70,16,9.82,22,13.50,105,64.42,17,11.97,7,4.93,3,2.11
State Services Commission,2011,108.3,110,45.14,5.28,1.32,12.05,5.40,54.21,22.00,14.81,13,11.82,16,14.55,65,59.09,7,6.36,5,4.55,1,0.91
State Services Commission,2012,105.1,107,46.05,3.75,1.20,11.01,7.50,50.69,20.43,14.93,18,16.82,17,15.89,66,61.68,6,5.61,5,4.67,0,0.00
State Services Commission,2013,111.8,115,43.59,3.35,6.79,11.38,8.00,27.93,18.65,12.63,11,9.57,16,13.91,69,60.00,8,9.20,3,3.45,0,0.00
Statistics New Zealand,2000,616.3,642,40.68,10.80,,,,,,,54,8.41,,,330,51.40,41,6.58,51,8.19,21,3.37
Statistics New Zealand,2001,641.2,663,40.77,10.07,,,,13.03,10.73,9.78,40,6.03,,,341,51.43,51,7.98,48,7.51,22,3.44
Statistics New Zealand,2002,654.0,683,41.07,10.21,,,,12.78,10.14,16.09,24,3.51,,,350,51.24,59,8.95,61,9.26,21,3.19
Statistics New Zealand,2003,603.7,628,41.95,10.87,5.71,15.58,18.38,15.56,11.62,12.73,13,2.07,,,330,52.55,46,7.76,59,9.95,20,3.37
Statistics New Zealand,2004,690.4,719,40.96,9.97,5.21,15.40,18.35,14.40,9.45,16.73,85,11.82,,,368,51.18,51,7.91,70,10.85,19,2.95
Statistics New Zealand,2005,709.1,738,40.52,9.23,6.87,15.30,17.98,20.86,12.70,15.03,96,13.01,,,374,50.68,43,6.30,85,12.45,18,2.64
Statistics New Zealand,2006,800.5,835,40.42,7.89,6.19,13.95,14.94,26.70,15.72,19.44,116,13.89,,,433,51.86,44,5.84,97,12.86,23,3.05
Statistics New Zealand,2007,786.3,831,40.52,7.66,6.91,16.00,17.40,27.49,16.56,23.24,40,4.81,128,15.40,436,52.47,47,6.27,110,14.67,26,3.47
Statistics New Zealand,2008,786.9,824,40.97,8.02,7.76,17.22,16.25,20.79,16.60,18.53,37,4.49,139,16.87,426,51.70,41,6.06,61,9.01,25,3.69
Statistics New Zealand,2009,875.0,976,43.69,8.17,7.41,15.49,15.90,17.22,14.14,21.59,38,3.89,129,13.22,528,54.10,48,6.08,109,13.81,25,3.17
Statistics New Zealand,2010,957.2,"1,035",43.75,8.47,7.05,15.74,13.27,12.73,9.33,9.63,86,8.31,144,13.91,569,54.98,59,6.68,134,15.18,32,3.62
Statistics New Zealand,2011,853.3,935,44.64,9.25,6.20,15.70,14.20,21.12,10.80,17.09,39,4.17,135,14.44,511,54.65,51,6.39,122,15.29,25,3.13
Statistics New Zealand,2012,964.8,"1,035",44.22,9.25,7.10,14.60,13.00,13.30,11.65,13.10,94,9.08,168,16.23,578,55.85,55,6.34,129,14.88,30,3.46
Statistics New Zealand,2013,"1,073.5","1,135",43.73,8.99,7.41,14.00,13.90,19.45,9.81,13.08,180,15.86,183,16.12,630,55.51,72,7.35,154,15.73,33,3.37
Ministry of Transport,2000,59.4,62,37.86,7.72,,,,,,,10,16.13,,,31,50.00,5,8.20,,,2,3.28
Ministry of Transport,2001,63.0,65,38.88,7.09,,,,28.35,24.56,24.39,3,4.62,,,36,55.38,6,9.38,,,1,1.56
Ministry of Transport,2002,65.8,68,39.10,7.29,,,,21.05,21.54,22.95,,,,,38,55.88,4,5.97,1,1.49,,
Ministry of Transport,2003,68.0,70,39.97,7.38,,,,21.74,21.90,23.33,1,1.43,,,36,51.43,6,8.82,1,1.47,,
Ministry of Transport,2004,73.6,76,39.77,6.98,5.97,11.75,8.96,24.66,23.78,36.67,2,2.63,,,45,59.21,6,8.00,1,1.33,,
Ministry of Transport,2005,127.6,131,39.66,6.54,2.59,12.75,15.25,22.22,17.91,21.98,4,3.05,,,70,53.44,8,7.92,2,1.98,1,0.99
Ministry of Transport,2006,146.1,148,40.70,3.74,2.66,11.43,8.51,22.94,22.63,21.12,1,0.68,,,78,52.70,9,6.34,5,3.52,2,1.41
Ministry of Transport,2007,149.7,157,41.07,3.54,4.14,12.04,9.29,34.10,33.66,32.29,1,0.64,27,17.20,83,52.87,8,5.10,7,4.46,1,0.64
Ministry of Transport,2008,174.5,180,41.32,3.69,4.45,12.38,8.13,27.89,22.96,30.68,5,2.78,32,17.78,94,52.22,7,3.89,9,5.00,4,2.22
Ministry of Transport,2009,170.9,177,41.16,3.96,5.87,12.77,11.84,25.77,16.81,13.33,7,3.95,35,19.77,90,50.85,3,1.69,11,6.21,4,2.26
Ministry of Transport,2010,166.4,172,42.62,4.74,4.78,15.43,16.89,17.19,11.94,8.13,7,4.07,33,19.19,91,52.91,2,1.16,9,5.23,6,3.49
Ministry of Transport,2011,151.4,158,42.56,5.43,5.80,15.00,14.81,27.88,19.00,28.95,5,3.16,25,15.82,90,56.96,2,1.28,11,7.05,2,1.28
Ministry of Transport,2012,139.7,144,42.44,5.65,4.75,15.00,13.10,23.84,15.54,18.18,1,0.69,26,18.06,75,52.08,2,1.41,8,5.63,4,2.82
Ministry of Transport,2013,141.8,145,42.94,5.74,5.37,14.54,13.80,25.61,17.92,16.22,9,6.21,22,15.17,71,48.97,6,4.20,11,7.69,2,1.40
The Treasury,2000,345.3,351,36.51,5.39,,,,,,,37,10.54,,,153,43.59,19,5.69,13,3.89,6,1.80
The Treasury,2001,312.8,317,37.28,5.69,,,,31.14,25.94,18.02,22,6.94,,,142,44.79,20,6.56,11,3.61,4,1.31
The Treasury,2002,306.9,313,37.40,5.86,,,,23.81,21.59,12.90,15,4.79,,,152,48.56,16,5.26,12,3.95,6,1.97
The Treasury,2003,325.7,336,37.58,6.05,5.03,14.64,19.05,11.40,8.97,7.53,10,2.98,,,155,46.13,18,5.52,15,4.60,9,2.76
The Treasury,2004,329.6,344,37.81,6.00,5.77,15.68,20.34,13.53,3.00,2.99,4,1.16,,,165,47.97,19,5.69,14,4.19,9,2.69
The Treasury,2005,337.4,352,37.97,6.38,5.29,15.27,17.73,16.09,13.80,13.47,11,3.13,,,167,47.44,20,5.81,16,4.65,9,2.62
The Treasury,2006,323.8,339,38.78,6.71,5.10,17.49,22.81,19.10,13.43,10.75,10,2.95,,,154,45.43,17,5.15,17,5.15,8,2.42
The Treasury,2007,330.5,344,39.26,6.92,3.86,11.32,1.05,22.55,18.82,19.79,14,4.07,49,14.24,166,48.26,16,4.80,19,5.71,8,2.40
The Treasury,2008,337.7,350,39.62,6.53,5.21,11.29,0.68,30.26,23.90,27.32,19,5.43,50,14.29,172,49.14,20,5.92,17,5.03,6,1.78
The Treasury,2009,355.1,368,39.43,6.57,5.76,18.75,28.71,15.88,8.75,13.57,13,3.53,49,13.32,183,49.73,19,5.21,18,4.93,5,1.37
The Treasury,2010,356.8,369,39.94,6.82,6.80,17.44,23.93,18.45,14.73,20.30,18,4.88,43,11.65,181,49.05,19,5.25,20,5.52,6,1.66
The Treasury,2011,362.9,378,39.74,7.10,4.75,16.83,24.07,21.95,15.50,16.95,25,6.61,43,11.38,190,50.26,5,1.40,21,5.88,4,1.12
